ZipCode,TotalPopulation,MalePercent,FemalePercent,Under5YPercent,5to9YPercent,10to14YPercent,15to19YPercent,20to24YPercent,25to34YPercent,35to44YPercent,45to54YPercent,55to59YPercent,60to64YPercent,65to74YPercent,75to84YPercent,85AndOverPercent
01001,17621,47.1,52.9,4.5,5.4,6.1,3.6,3.7,12.6,12.6,13.4,7.2,6.7,11.6,7.6,4.9
01002,30066,48.5,51.5,3.1,3.2,3.3,14.5,29.9,11.0,6.6,7.9,4.2,4.5,6.7,3.1,2.0
01003,11238,51.3,48.7,0.0,0.0,0.0,50.1,48.8,0.6,0.1,0.0,0.3,0.1,0.0,0.0,0.0
01005,4991,49.4,50.6,2.9,4.7,7.4,8.5,5.0,11.9,5.0,15.9,14.3,8.9,10.5,2.6,2.2
01007,14967,50.2,49.8,4.8,6.3,6.4,7.1,7.8,8.0,11.3,18.5,7.6,7.5,9.1,4.9,0.7
01008,1197,52.0,48.0,3.5,1.8,5.4,6.5,3.4,10.2,8.6,14.7,9.3,12.5,18.9,3.9,1.2
01009,249,53.8,46.2,0.0,0.0,0.0,4.4,16.1,18.5,8.8,0.0,13.3,0.0,39.0,0.0,0.0
01010,3739,49.0,51.0,4.3,7.4,4.5,6.2,3.3,9.4,8.9,21.2,5.5,10.4,11.1,6.9,0.9
01011,1448,49.2,50.8,5.9,4.4,6.1,5.8,3.2,13.4,10.4,11.5,14.6,6.7,12.2,4.4,1.5
01012,560,49.8,50.2,3.9,2.0,7.7,2.7,4.8,13.0,12.0,6.3,12.1,11.4,15.9,7.3,0.9
01013,23065,47.5,52.5,5.5,5.5,6.7,7.4,8.7,15.3,12.0,12.8,6.0,5.4,7.8,4.7,2.3
01020,30097,49.2,50.8,4.4,6.3,5.1,4.2,6.0,13.8,11.3,14.5,7.8,7.4,12.2,5.0,1.9
01022,2499,49.9,50.1,6.0,3.7,1.6,13.8,12.0,11.9,10.6,9.9,2.8,3.9,10.8,8.0,4.9
01026,954,47.3,52.7,3.1,5.9,9.5,3.2,3.8,3.0,14.3,15.5,11.1,5.9,14.3,6.6,3.8
01027,17848,47.7,52.3,3.9,4.2,4.3,5.4,4.1,14.1,13.7,15.2,8.2,8.1,11.8,4.7,2.4
01028,16200,46.1,53.9,5.4,5.4,6.8,5.9,5.7,9.9,9.7,15.6,7.3,6.8,11.1,6.1,4.5
01029,651,50.8,49.2,6.3,4.8,3.2,4.6,3.2,13.8,12.0,20.1,6.5,8.1,9.7,4.8,2.9
01030,11123,50.2,49.8,4.4,4.5,5.9,7.9,3.3,10.6,10.7,15.1,11.0,8.7,12.2,3.3,2.4
01031,1197,54.2,45.8,9.4,6.2,1.6,3.8,7.6,20.6,4.8,13.1,10.8,5.3,12.4,4.3,0.0
01032,533,43.7,56.3,9.0,5.8,3.6,4.3,2.1,4.9,10.3,22.0,9.4,11.8,11.8,3.9,1.1
01033,6333,50.1,49.9,4.7,4.5,5.7,4.7,6.0,11.2,9.1,19.7,11.2,5.5,8.8,4.3,4.6
01034,2179,49.0,51.0,3.6,6.8,4.4,5.8,5.3,9.8,12.6,17.5,8.4,8.5,12.9,3.8,0.6
01035,5310,42.7,57.3,2.1,4.2,6.2,4.9,4.0,14.6,8.8,12.5,8.1,6.6,17.1,5.7,5.3
01036,5191,49.1,50.9,4.5,3.7,5.3,6.5,5.2,6.2,8.8,16.6,10.1,9.4,13.0,6.9,3.8
01037,798,58.4,41.6,1.0,6.4,11.3,14.7,3.6,12.9,1.1,15.3,10.3,8.5,8.5,6.4,0.0
01038,2867,48.8,51.2,1.8,2.2,6.6,7.2,3.4,10.2,9.7,13.4,12.0,9.6,15.5,6.9,1.5
01039,1042,45.6,54.4,1.4,1.6,3.9,4.4,3.8,15.0,5.2,12.8,19.8,11.7,15.6,3.1,1.6
01040,40376,49.0,51.0,7.5,6.3,5.4,6.5,8.2,16.3,12.0,12.5,6.4,5.1,7.1,4.5,2.3
01050,2422,52.4,47.6,5.0,4.5,6.4,4.6,6.3,12.6,11.1,16.2,8.3,8.1,11.3,4.7,0.8
01053,1702,56.5,43.5,3.2,3.3,6.7,5.2,2.8,8.8,10.0,12.7,8.3,12.0,9.8,8.2,8.8
01054,1983,50.7,49.3,3.9,5.3,5.8,5.1,4.4,7.7,12.4,12.4,7.1,10.3,16.2,7.0,2.3
01056,21336,51.3,48.7,5.2,3.8,5.8,6.5,4.4,13.6,11.3,14.8,8.8,8.7,9.2,5.0,2.9
01057,8745,48.9,51.1,4.5,4.8,4.8,6.7,5.1,11.1,10.2,16.5,11.0,6.8,13.6,3.6,1.3
01060,15779,39.8,60.2,2.4,4.1,4.3,10.0,14.1,15.0,10.7,12.0,6.6,5.5,9.5,3.3,2.5
01062,10495,48.7,51.3,5.5,6.1,6.3,6.7,3.7,10.4,13.2,12.1,9.6,8.5,13.0,3.4,1.3
01063,592,2.2,97.8,0.0,0.0,0.0,40.9,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01066,9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
01068,1840,49.5,50.5,2.8,3.7,5.5,8.2,6.7,9.6,10.3,16.0,12.1,10.4,10.5,2.3,1.9
01069,8698,48.0,52.0,4.3,3.7,5.1,4.2,6.3,14.6,9.6,14.3,11.1,8.5,10.9,4.7,2.7
01070,604,53.0,47.0,5.0,3.6,3.0,8.6,5.6,6.5,8.6,16.9,7.5,8.9,17.2,6.6,2.0
01071,1270,45.8,54.2,4.2,5.2,3.6,7.2,6.8,10.1,8.7,17.2,9.4,9.4,13.3,4.7,0.3
01072,1536,47.7,52.3,4.4,4.4,6.7,8.0,4.8,5.7,13.5,13.2,9.6,12.6,12.5,3.6,1.2
