ZipCode,NonHispanic,WhiteAlone,AfricanAmericanAlone,AmericanIndianAlaskaNative,AsianAlone,NativeHawaiianPacificIslander,OtherNonHispanic,Hispanic
43964,8615,8209,256,2,21,0,127,27
28216,47039,12020,32646,20,1032,0,1321,4077
28277,66433,47299,6154,171,10486,0,2323,5172
28278,24416,12758,8214,0,1709,53,1682,2870
28303,26330,12090,11295,187,1080,132,1546,3084
28314,49536,18095,26366,294,1714,133,2934,8574
28330,444,340,104,0,0,0,0,0
28347,1503,540,879,59,0,0,25,826
28351,4682,2606,1255,610,10,0,201,16
28357,2341,1337,525,425,1,0,53,341
28369,2704,1286,947,403,40,0,28,161
28371,6845,3576,1980,765,35,0,489,404
28392,1621,966,655,0,0,0,0,7
28428,6410,6145,7,0,24,0,234,123
28433,5209,1796,3339,71,0,0,3,166
28435,1983,1506,330,0,99,0,48,75
28450,2512,1766,222,461,10,0,53,84
28461,18693,17674,390,38,37,0,554,1204
28462,12562,11108,1165,148,65,0,76,97
28537,143,140,3,0,0,0,0,3
28547,20840,16102,2603,103,563,96,1373,4580
28552,146,146,0,0,0,0,0,0
28557,14335,12550,1167,48,260,5,305,869
28560,26211,19661,4825,78,1026,24,597,1379
28562,36605,25869,8579,198,1342,0,617,1993
28570,20479,18285,1129,59,417,0,589,1111
28574,16327,13650,1713,93,156,50,665,1789
28579,554,539,10,0,0,0,5,0
28373,2534,1760,708,28,0,0,38,68
28364,15138,1084,3085,10600,110,10,249,45
28366,4184,2851,1086,38,143,0,66,1380
28377,10696,1682,3311,5354,41,0,308,2237
28383,8764,1101,2205,5242,6,0,210,90
28386,4436,495,712,3082,5,0,142,1561
28398,6308,2445,3489,0,4,32,338,1457
28425,10612,6317,3716,32,31,0,516,1022
28429,7338,5366,1769,20,0,0,183,187
28464,2267,842,1425,0,0,0,0,440
28073,5361,3873,1222,4,202,0,60,5
28098,3258,2566,551,0,36,0,105,371
28119,2170,775,1395,0,0,0,0,283
28144,23495,11718,10963,37,246,0,531,1663
28150,26619,18019,7898,142,239,0,321,962
28168,9735,9284,131,44,177,0,99,321
28173,53781,44837,4071,35,3217,4,1617,3129
28205,39021,20923,13596,108,2657,253,1484,9518
28214,35398,14623,16883,50,2401,22,1419,5958
28307,14062,9459,3028,131,466,49,929,3768
28315,12854,8197,3647,459,351,0,200,846
28318,4074,3624,252,155,0,0,43,297
28320,9635,7027,2405,57,0,0,146,284
28333,7259,2491,4461,0,32,0,275,3816
28730,8493,8164,246,33,0,0,50,755
28544,6012,4273,1360,0,93,0,286,680
28470,11199,9025,1850,50,69,0,205,890
28524,304,304,0,0,0,0,0,0
28530,6098,3506,2547,3,0,0,42,359
28556,1019,806,95,0,0,0,118,0
28573,1964,1074,879,2,0,0,9,89
28621,9168,8571,463,16,61,0,57,1331
28631,700,700,0,0,0,0,0,118
28644,1094,1094,0,0,0,0,0,23
28675,6235,5898,249,37,15,1,35,798
28684,2347,2312,7,0,0,0,28,23
28405,30711,23839,6088,0,519,9,256,1619
28442,1443,857,546,20,0,0,20,141
28444,1950,1055,850,19,0,0,26,12
28466,8388,6486,1807,0,12,0,83,906
28718,363,363,0,0,0,0,0,0
28722,5676,5298,267,0,9,0,102,801
28077,454,443,9,0,0,0,2,10
28097,5695,5527,86,0,0,0,82,379
28103,10883,8496,2152,28,109,0,98,514
28105,40958,32564,4886,187,1989,0,1332,4828
28110,43618,35531,6789,89,454,22,733,9902
28124,6143,5881,70,58,71,0,63,49
28127,7704,6607,889,11,106,0,91,156
28137,3140,2762,149,0,211,0,18,108
28139,20363,18602,1303,146,0,0,312,537
28212,33084,8303,18963,215,4035,0,1568,12610
28217,19875,4166,12422,99,2702,0,486,9535
28227,46556,27189,15710,372,1563,0,1722,9213
29440,27218,13904,12603,20,35,0,656,679
29450,3548,1155,2298,0,0,0,95,0
29452,484,159,325,0,0,0,0,0
29456,28161,19280,6830,232,489,41,1289,2448
29477,6842,3167,3523,4,9,0,139,124
29525,2237,643,1313,102,11,0,168,5
29340,20399,15404,4521,0,59,0,415,647
29353,4181,3212,922,0,0,0,47,18
29364,578,464,85,16,0,0,13,0
29369,13339,10076,2654,5,241,4,359,228
29370,1165,798,363,0,0,0,4,22
29374,3698,3422,118,12,121,0,25,58
29385,6816,4595,1594,50,191,0,386,1018
29448,2308,1408,864,9,5,0,22,1
29466,37347,33994,2565,73,465,0,250,920
29472,8854,4238,3933,248,5,0,430,388
29488,21242,11976,8744,160,0,200,162,814
29501,45416,27684,15790,100,872,76,894,1100
29510,10110,5282,4674,0,39,0,115,383
29541,9502,6071,3128,18,11,25,249,99
29943,524,161,363,0,0,0,0,0
29482,2097,2048,6,0,23,0,20,51
29485,53304,38725,10682,151,1419,153,2174,3696
29518,1036,683,353,0,0,0,0,6
29547,3065,1513,1429,61,1,0,61,459
29568,14727,9686,4827,114,42,0,58,339
29615,34794,28078,3764,100,1929,106,817,2887
29640,28836,25997,2180,147,156,10,346,1459
29643,2088,2031,37,0,20,0,0,0
29649,25829,17320,7159,5,559,0,786,769
29661,5594,5404,115,0,0,0,75,291
29664,2049,2049,0,0,0,0,0,35
29666,6481,5459,992,0,0,0,30,129
29673,27798,21026,5692,20,254,12,794,1489
29676,5258,5163,53,0,22,0,20,47
29682,3532,3511,12,2,7,0,0,137
29687,37641,30958,4916,76,816,10,865,3568
29693,14160,13042,653,71,95,0,299,253
29710,32832,27340,3363,234,793,0,1102,2325
29714,2902,2334,513,0,12,0,43,0
29717,1386,1195,178,0,0,0,13,14
29439,2319,2319,0,0,0,0,0,0
29373,487,442,10,9,0,0,26,0
29404,1795,1267,310,0,22,32,164,186
29435,4371,3101,1141,118,0,0,11,8
29449,8171,4013,3980,0,23,0,155,94
29458,3195,1017,2175,0,0,0,3,0
29461,36070,24712,9833,160,139,54,1172,1063
29464,49828,43737,3799,101,710,45,1436,1551
29470,4541,3304,1207,0,0,0,30,359
29474,1897,1454,443,0,0,0,0,239
29203,38264,4815,32087,10,528,11,813,1254
29209,32026,14958,15429,42,653,113,831,1564
29302,16506,12560,3034,36,693,10,173,452
29571,14084,4880,8799,151,173,0,81,56
29307,17428,12881,3819,106,169,11,442,693
29316,25699,20503,3792,9,847,23,525,1020
29570,3391,1763,910,458,14,0,246,11
29577,27128,21176,4458,93,627,23,751,4688
29580,1336,160,1115,0,53,0,8,0
29593,1654,778,865,0,0,0,11,15
29617,21914,16878,4081,0,407,13,535,6448
29621,39643,30896,6996,74,870,0,807,1288
29626,12002,8754,2851,0,0,12,385,568
29631,14800,12379,742,90,1172,0,417,376
29644,20051,14656,4528,26,185,33,623,1131
29658,488,481,7,0,0,0,0,3
29690,22262,19807,1981,42,81,16,335,955
29692,4641,3585,911,0,11,0,134,70
29696,5039,4640,119,38,26,0,216,347
29727,1399,783,569,0,2,0,45,42
29810,4175,512,3611,30,6,0,16,49
29840,323,0,308,15,0,0,0,0
29848,631,540,82,0,0,0,9,0
29939,383,97,286,0,0,0,0,0
29046,143,0,143,0,0,0,0,0
29101,2763,1585,1129,22,0,0,27,126
29168,3956,1525,2364,0,31,0,36,17
29940,3888,1495,2331,0,15,0,47,158
29137,1847,905,804,55,20,0,63,2
29153,14509,5915,8287,85,49,38,135,425
