ZipCode,Pop16YAO,UnEmpRate16YAO,UnEmpRate20to64Y
01001,14601,3.4,3.8
01002,26816,5.9,5.0
01003,11238,18.4,12.7
01005,4172,5.9,6.1
01007,12209,4.0,3.4
01008,1042,4.5,3.1
01009,249,12.4,10.9
01010,3085,8.4,6.9
01011,1202,4.4,4.3
01012,476,7.4,8.5
01013,18707,7.3,5.8
01020,25088,6.2,5.7
01022,2216,8.9,5.3
01026,773,4.1,4.2
01027,15383,5.5,5.8
01028,13170,3.9,4.0
01029,555,7.4,4.7
01030,9270,3.8,3.3
01031,983,6.3,6.4
01032,427,5.8,6.6
01033,5376,3.2,3.0
01034,1822,5.9,6.6
01035,4610,1.9,2.2
01036,4393,7.4,4.7
01037,649,2.2,2.4
01038,2533,1.1,0.5
01039,969,8.1,9.4
01040,32178,8.4,7.8
01050,2011,2.4,2.5
01053,1449,3.1,2.9
01054,1664,3.4,3.1
01056,17901,5.0,4.3
01057,7308,5.1,4.9
01060,13952,5.5,5.0
01062,8500,7.0,6.2
01063,592,3.3,3.3
01066,9,,
01068,1596,5.6,6.0
01069,7468,4.5,4.5
01070,514,3.8,3.3
01071,1083,3.4,1.6
01072,1270,6.1,5.8
01073,5173,4.8,5.2
01074,403,0.0,0.0
01075,15622,6.2,5.6
01077,7918,3.5,2.9
01079,521,0.0,0.0
01080,2242,12.5,8.6
01081,1527,4.0,3.8
01082,8623,6.8,7.1
01083,2394,3.5,3.7
01084,148,6.2,3.8
01085,35117,5.4,4.8
01086,372,0.0,0.0
01088,387,7.8,8.2
01089,23190,6.4,5.4
01092,1178,4.5,0.1
01093,256,2.1,0.0
01094,262,0.0,0.0
01095,12229,1.5,1.4
01096,2246,5.0,5.0
01097,32,0.0,0.0
01098,1041,1.9,1.1
01103,2046,8.0,7.7
01104,18413,10.1,8.1
01105,9094,14.8,14.2
01106,12722,3.4,3.0
01107,8180,21.9,17.1
01108,21108,9.5,8.7
01109,23658,10.6,9.7
01118,11671,3.8,3.2
01119,11163,7.5,7.6
01128,2328,8.0,5.7
01129,5654,4.4,3.7
01151,6540,10.4,10.9
01199,0,,
01201,37117,7.0,6.7
01220,6954,6.0,6.5
01222,696,3.1,3.7
01223,2060,5.5,4.9
01224,202,32.4,32.4
01225,2784,10.2,10.0
01226,5820,3.2,2.9
01229,70,0.0,0.0
01230,7365,4.0,3.8
01235,2251,4.8,4.3
01236,979,4.6,6.4
01237,2021,7.1,8.3
01238,4930,5.1,5.7
01240,4000,5.9,6.5
01242,332,0.0,0.0
01243,247,1.7,2.0
01244,64,0.0,0.0
01245,750,1.7,2.3
01247,13184,6.9,6.6
01253,617,8.4,10.7
01254,911,3.2,3.3
01255,807,4.8,5.0
01256,617,4.8,5.1
01257,1865,2.6,2.4
01258,449,0.0,0.0
01259,510,2.9,2.8
01260,370,9.6,10.3
01262,1006,4.0,5.4
01264,177,16.5,24.7
01266,1163,3.2,4.3
01267,7034,5.0,5.5
01270,665,3.2,1.7
01301,14909,5.8,6.0
01330,1211,3.3,3.5
01331,11196,8.9,9.1
01337,2063,4.9,4.9
01338,110,6.4,6.4
01339,1218,5.7,5.7
01340,1493,5.1,5.2
01341,1514,3.7,3.4
01342,1204,2.2,2.6
01343,38,0.0,0.0
01344,1207,7.9,6.1
01346,361,1.8,1.1
01347,160,0.0,0.0
01349,1041,10.3,10.6
01350,74,14.9,15.2
01351,1846,0.6,0.0
01354,1452,4.9,4.1
01355,803,5.1,6.0
01360,2496,5.4,5.7
01364,6482,7.3,7.1
01366,1127,5.0,5.1
01367,460,1.1,1.3
01368,1010,3.7,3.1
01370,3514,6.9,7.9
01373,3860,4.9,5.4
01375,3173,2.4,2.6
01376,4388,4.3,4.3
01378,664,1.5,1.2
01379,717,6.8,5.4
01420,32603,9.1,8.7
01430,4854,5.5,5.2
01431,2690,5.0,5.3
01432,6338,2.4,2.3
01434,1646,6.6,6.7
01436,2708,1.1,0.0
01438,550,15.0,11.3
01440,16850,5.7,5.3
01450,9014,4.1,4.4
01451,3583,6.9,7.4
01452,3790,5.3,4.7
01453,33587,5.8,5.1
01460,7925,4.6,3.9
01462,9074,4.8,4.1
01463,9721,4.2,3.3
01464,6696,5.4,5.2
