ZipCode,Pop25YAO,LessThan9th25YAO,9To12NoDip25YAO,HSGrad25YAO,AssocDeg25YAO,BachDeg25YAO,GradOrProfDeg25YAO,HSGradOrHigher25YAO
01001,13508,293,858,3816,1183,2601,1789,12357
01002,13857,379,291,1860,778,3541,5745,13187
01003,118,0,27,14,10,13,5,91
01005,3569,11,127,1315,363,615,540,3431
01007,10120,120,413,2259,939,2472,2366,9587
01008,949,23,73,302,94,188,117,853
01009,198,11,0,12,0,67,0,187
01010,2777,45,117,736,334,535,463,2615
01011,1081,22,100,429,117,128,74,959
01012,442,8,33,153,40,70,61,401
01013,15277,1128,1926,4915,1443,1798,1188,12223
01020,22277,884,1872,7737,2986,2617,1321,19521
01022,1571,26,56,459,185,231,145,1489
01026,710,3,15,216,32,167,130,692
01027,13940,199,451,4139,1724,3068,2018,13290
01028,11470,232,374,2531,1348,2831,2077,10864
01029,507,3,39,136,28,124,60,465
01030,8220,46,379,2506,1041,1910,894,7795
01031,855,13,66,322,95,170,56,776
01032,401,0,14,99,34,95,94,387
01033,4713,105,205,1204,444,1265,720,4403
01034,1615,14,60,569,160,335,174,1541
01035,4175,82,86,1033,354,1136,854,4007
01036,3882,35,202,1235,486,712,627,3645
01037,503,0,0,162,71,96,109,503
01038,2260,12,22,669,308,509,404,2226
01039,883,11,29,155,71,191,314,843
01040,26708,2516,3146,7953,1897,3773,2471,21046
01050,1771,13,85,573,227,347,162,1673
01053,1339,24,57,359,93,283,318,1258
01054,1496,8,45,233,74,355,601,1443
01056,15829,1208,1537,5092,1446,2550,1214,13084
01057,6485,189,277,2025,734,1023,813,6019
01060,10261,188,438,1500,673,2724,3622,9635
01062,7520,190,331,1372,552,1894,2206,6999
01063,0,0,0,0,0,0,0,0
01066,9,0,0,0,0,0,9,9
01068,1345,20,48,403,142,285,192,1277
01069,6649,138,420,2161,831,1238,438,6091
01070,448,2,11,98,50,75,132,435
01071,928,9,32,390,126,141,113,887
01072,1103,3,26,123,62,296,438,1074
01073,4401,12,225,1301,483,775,888,4164
01074,304,0,36,137,0,60,18,268
01075,11747,176,466,2804,1366,2351,2483,11105
01077,7147,178,359,1605,937,1378,1308,6610
01079,515,0,0,150,11,150,44,515
