ZipCode,Pop16YAO,MedianEarnings16YAO,MedianEarnings25YAO,MedianEarningsBachelors25YAO,MedianEarningsGradOrProfDeg25YAO
00601,4165,14448,15158,19840,27333
00602,12288,13322,14134,19317,29073
00603,13838,15980,16961,23089,40570
00606,1489,10554,11063,23194,
00610,9100,15298,16129,25833,35234
00612,17206,17436,18707,22203,39093
00616,3310,16157,16842,20188,38026
00617,6301,17325,17559,22865,30242
00622,1296,18305,18263,18512,57917
00623,11253,16029,16658,19571,39485
00624,6540,14403,14997,22308,28722
00627,8941,15385,16106,22466,27273
00631,439,15923,15714,26121,
00637,6114,16855,17313,22875,25517
00638,3514,16850,17382,26141,29063
00641,6955,15934,16415,22846,32905
00646,12358,21887,23975,32187,41708
00647,1170,13592,14794,20389,
00650,4247,16045,17585,29167,14738
00652,1011,17560,18363,18789,20357
00653,2422,14351,14788,22126,29171
00656,5237,15452,16188,22536,22832
00659,12497,16270,17068,23658,31281
00660,5286,15695,16809,22816,35821
00662,10881,16006,16720,22240,31429
00664,3707,16498,17033,21182,22721
00667,4896,14628,15039,22479,23077
00669,6703,16229,16944,25439,30000
00670,2251,14003,14725,20321,50750
00674,11766,17312,18869,26327,39976
00676,9954,15202,15938,20528,28898
00677,4968,13958,14939,17917,41563
00678,7936,15080,15870,22583,30679
00680,13267,14832,16279,20117,37083
00682,8869,14475,16106,21000,42358
00683,8174,15047,16283,23932,24183
00685,9293,15265,15940,23007,30039
00687,9064,16465,17160,27200,40444
00688,3773,16266,17079,20139,27880
00690,1470,19231,23060,33047,31648
00692,9869,18704,19894,31216,48476
00693,15687,18573,19942,26491,31311
00694,0,,,,
00698,9576,16083,16655,19057,30241
00703,7987,15725,16025,21094,25386
00704,2526,13849,14978,23417,19259
00705,6775,17248,18503,28714,30000
00707,2354,16722,18470,23197,
00714,3965,16408,17913,26005,35765
00715,771,10376,10470,,
00716,7658,18938,20943,22894,43591
00717,4277,15721,16900,25038,32609
00718,7410,16747,16944,21615,28622
00719,8427,16224,17510,24293,31282
00720,4596,16332,17176,19800,16505
00723,4695,15061,16340,21261,33095
00725,29654,16912,18890,26277,38248
00727,22699,21723,24180,30829,42143
00728,12472,15228,16116,19655,26706
00729,18132,16919,17604,23704,29125
00730,8357,16602,17329,21706,34625
00731,3902,14500,15054,20562,48407
00735,3904,16816,17443,24143,22000
00736,15922,17840,19230,26443,33341
00738,10550,15655,16541,22777,32122
00739,11746,17286,18158,21100,32157
00740,519,12166,12981,,
00741,1586,15731,16144,27917,
00745,18488,17095,18215,23685,32277
00751,6223,14239,14839,26000,27437
00754,12124,17208,18547,28536,31862
00757,8264,15795,17179,22285,38404
00765,3007,16153,16868,19843,43160
00766,8080,15023,16081,22969,33297
00767,8951,16744,18016,20620,31771
00769,12393,16202,17022,25289,38099
00771,10856,19385,20807,28506,31800
00772,5698,16122,16864,26025,26961
00773,6363,16669,17647,24219,25911
00775,584,15959,15943,,27813
00777,12334,17169,18378,28180,31283
00778,19794,21171,23641,33877,41726
00780,4108,19874,21932,25087,42072
00782,4598,14908,15442,20548,37045
00783,8137,16323,17005,21875,21129
00784,11031,17568,19710,24899,32357
00786,147,25353,25353,,
00791,14093,17219,18235,25772,26770
00794,7006,16852,17545,23496,24782
00795,15934,15945,16997,24685,35975
00901,2587,22759,24617,26275,59046
00906,149,63558,63558,51429,71154
00907,8464,26045,26914,34399,51052
00909,2023,16959,18218,34130,40477
00911,3778,24938,27230,31978,50556
00912,2612,16814,18250,22660,50313
00913,1934,11662,15755,49500,46293
00915,9948,13595,14342,18733,33611
00917,6741,14453,15261,19608,25592
00918,6372,30130,31481,36318,47375
00920,7058,17849,19480,25177,30268
00921,12212,17661,18706,23039,32410
00923,7817,15187,16141,25861,36103
00924,17368,17422,20273,29009,32768
00925,2975,9672,11727,12833,37708
00926,40650,24094,26241,31447,52618
00927,5513,30027,31622,30034,44758
00934,60,,,,
00936,86,14342,16250,,
00949,28595,19082,21168,26381,38025
00950,0,,,,
00951,0,,,,
00952,2619,14322,15815,24453,39773
00953,27439,20952,22369,28477,39407
00956,24444,18103,19356,25641,33091
00957,14326,18632,20399,28012,37264
00959,21079,18363,20516,27738,34739
00960,542,7255,7917,,
00961,12399,19049,21673,29603,38080
00962,6146,16525,17416,25417,34817
00965,2428,16743,17806,20956,
00966,6965,30219,31652,35458,59107
00968,1538,46044,46282,47391,46739
00969,19984,25295,28964,30933,48243
00971,10459,17340,18721,30594,40406
00976,24675,20480,21996,30300,38977
00979,8632,25744,26952,35824,44143
00982,5553,18472,20421,25133,35559
00983,14408,17645,20221,25116,29382
00985,11751,17323,19081,23120,33656
00987,24277,21391,23775,29792,39614
01001,9605,41829,46244,56433,60221
01002,20254,13185,42449,40744,68968
01003,9789,4148,10969,26500,
01005,2933,38254,44847,69219,64429
01007,9216,47755,54707,59183,71283
01008,722,48750,51207,63917,69063
01009,155,27083,27083,20074,
01010,2144,41936,46016,62045,77600
01011,850,31724,36193,48125,74844
01012,345,35750,36250,43000,47917
01013,11657,28976,33047,42821,48094
01020,16421,36423,41236,53885,63833
01022,1210,31250,38967,44018,66818
01026,514,30234,31328,26786,40750
01027,10729,40367,41753,45337,54865
01028,8582,47078,53794,63010,70226
01029,385,43625,46071,70833,53750
01030,6409,42603,49992,56029,75168
01031,674,31736,34559,39464,
01032,339,42014,43977,59038,52778
